Name,,ROAS,Email,Phone
Rajesh Kumar,,2.45,rajesh.kumar@email.com,8076335693
Priya Sharma,,1.89,priya.sharma@email.com,8076335693
Amit Patel,,3.12,amit.patel@email.com,8076335693
Neha Singh,,2.67,neha.singh@email.com,8076335693
Vikram Gupta,,2.23,vikram.gupta@email.com,8076335693
Anjali Desai,,1.54,anjali.desai@email.com,8076335693
Rohan Verma,,2.91,rohan.verma@email.com,8076335693
Sneha Iyer,,2.34,sneha.iyer@email.com,8076335693
Arjun Nair,,1.76,arjun.nair@email.com,8076335693
Divya Menon,,3.45,divya.menon@email.com,8076335693
